Material	Quantity	Batch
7192937	391	206645
7171536	0	456668
7171536	1	456668
7171536	1	456668
7192398	2	208085
7192398	506	208085
7194676	14	329671
7192401	6	533841
7192401	311	533841
7191243	0	261935
7191243	0	261935
7191243	0	261935
7191243	3	261935
7191243	2	207684
7191243	3	207684
7191243	2	207684
7191243	3	207684
7191243	0	207684
7191243	3	362174
7191243	1	362174
7191243	2	362174
7191243	3	442164
7191243	1	442164
7191243	3	442164
7191243	3	442164
7191243	0	442164
7194676	11	183019
7192380	1	535983
7192380	168	535983
7191278	0	69681
7191278	2	69681
7191278	4	69681
7191278	1	69681
7191278	0	182975
7191278	3	182975
7191278	1	182975
7191278	3	182975
7194676	5	255546
7194676	2	31491
7194676	0	31491
7194676	9	466902
7191243	3	106111
7191243	1	106111
7191243	3	106111
7191243	3	106111
7191243	3	177798
7191243	3	177798
7191243	1	177798
7191243	2	177798
7194684	14	428793
7196890	13	162928
7196890	14	168625
7196890	2	387755
7191243	3	410589
7191243	3	410589
7191243	3	410589
7194676	2	391877
7171536	1	484607
7171536	0	484607
7171536	3	484607
7171536	0	484607
7192986	1329	272604
7192986	913	272604
7196890	0	205852
7196890	11	205852
7196890	3	425303
7171536	0	503379
7171536	2	503379
7171536	3	503379
7171536	3	503379
7183445	5	444821
7156618	2	242883
7196890	1	513968
7171536	0	421094
7171536	0	421094
7171536	2	421094
7171536	3	421094
7196890	14	94101
7196890	2	441665
7196890	3	47342
7192701	18	225261
7191243	2	40837
7191243	1	40837
7191243	2	40837
7191243	0	40837
7171536	0	91609
